claude-4-sonnet,gemini-2.5-flash,gemini-2.5-pro,human,o3,qwen3-235b-a22b-thinking-2507
0.0,2.3333333333333335,1.3333333333333333,1.5555555555555556,1.6666666666666667,1.3333333333333333
0.0,2.6666666666666665,0.0,3.3333333333333335,1.3333333333333333,1.3333333333333333
0.0,1.6666666666666667,3.3333333333333335,1.1111111111111112,2.0,0.6666666666666666
0.0,3.6666666666666665,0.0,1.1111111111111112,1.3333333333333333,0.5
0.0,1.3333333333333333,22.0,4.222222222222222,4.666666666666667,0.3333333333333333
1.0,0.6666666666666666,9.0,2.4444444444444446,1.3333333333333333,1.0
0.6666666666666666,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666
2.6666666666666665,3.6666666666666665,15.666666666666666,10.88888888888889,4.0,2.3333333333333335
0.0,1.6666666666666667,1.6666666666666667,2.0,4.0,0.0
3.0,3.0,14.0,1.5555555555555556,10.0,0.75
0.3333333333333333,3.3333333333333335,0.3333333333333333,1.0,1.0,1.0
0.0,0.3333333333333333,0.0,4.0,0.6666666666666666,0.0
0.0,0.6666666666666666,0.0,1.6666666666666667,0.6666666666666666,1.0
0.0,0.3333333333333333,3.0,2.3333333333333335,0.3333333333333333,0.6666666666666666
0.0,3.3333333333333335,1.6666666666666667,2.888888888888889,1.0,0.3333333333333333
0.6666666666666666,0.6666666666666666,1.6666666666666667,3.2222222222222223,0.0,0.3333333333333333
0.0,1.0,6.333333333333333,1.2222222222222223,2.0,0.6666666666666666
0.0,5.0,0.3333333333333333,3.6666666666666665,1.3333333333333333,0.0
2.0,6.0,6.666666666666667,1.8888888888888888,1.3333333333333333,0.6666666666666666
0.0,0.0,0.3333333333333333,1.2222222222222223,0.6666666666666666,0.3333333333333333
0.0,6.666666666666667,1.3333333333333333,2.7777777777777777,0.6666666666666666,1.0
0.0,1.3333333333333333,1.6666666666666667,1.7777777777777777,0.3333333333333333,0.6666666666666666
0.0,2.3333333333333335,18.0,4.0,0.3333333333333333,1.6666666666666667
0.0,0.6666666666666666,6.0,3.2222222222222223,0.6666666666666666,0.6666666666666666
0.0,2.6666666666666665,0.6666666666666666,1.1111111111111112,1.0,0.0
0.0,1.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,2.0
0.0,3.0,22.666666666666668,1.5555555555555556,0.6666666666666666,2.3333333333333335
0.6666666666666666,1.6666666666666667,2.0,3.888888888888889,2.0,1.0
0.0,2.3333333333333335,11.0,2.2222222222222223,0.0,1.0
0.0,1.6666666666666667,2.3333333333333335,1.8888888888888888,5.666666666666667,0.6666666666666666
0.0,1.0,3.3333333333333335,2.111111111111111,0.3333333333333333,1.3333333333333333
0.0,8.0,2.3333333333333335,3.111111111111111,4.0,0.3333333333333333
0.3333333333333333,2.0,1.3333333333333333,2.0,3.6666666666666665,1.0
0.3333333333333333,0.3333333333333333,0.3333333333333333,1.1111111111111112,0.3333333333333333,0.6666666666666666
0.0,7.666666666666667,1.3333333333333333,4.777777777777778,3.0,4.0
0.0,0.6666666666666666,1.0,1.4444444444444444,0.0,0.0
0.0,1.3333333333333333,0.0,3.7777777777777777,0.3333333333333333,0.6666666666666666
0.0,0.6666666666666666,0.3333333333333333,1.1111111111111112,2.3333333333333335,0.0
0.0,0.0,1.0,1.7777777777777777,0.3333333333333333,0.0
1.3333333333333333,0.0,4.666666666666667,5.333333333333333,7.666666666666667,2.6666666666666665
0.0,1.6666666666666667,0.6666666666666666,1.4444444444444444,0.6666666666666666,0.3333333333333333
0.6666666666666666,0.0,1.0,2.7777777777777777,1.0,0.6666666666666666
0.0,8.333333333333334,0.0,1.6666666666666667,0.6666666666666666,0.0
