,cov_trace,mean_mode_trace,recall,precision
0,4.025649828966621,0.019765817645974466,0.9656,0.9704
1,4.134865317542225,0.019533143931834474,0.9532,0.9628
2,4.1774884299636925,0.01903122071936498,0.9448,0.9652
3,4.150719757071985,0.018548329024935,0.938,0.9664
4,4.181853355908965,0.018792537793583097,0.9396,0.9692
5,4.148533592061028,0.017523397240811638,0.922,0.9716
6,4.048550430616032,0.017228078743353317,0.9088,0.9672
7,4.00806181220471,0.01682106212836943,0.896,0.9656
8,3.976223400106613,0.016269007515108194,0.9024,0.9688
9,3.940405903459359,0.016298224043312135,0.9024,0.9692
10,3.872739985663851,0.01613749118523002,0.8944,0.9704
11,3.7769379729795656,0.01585982014737177,0.8892,0.9636
12,3.788618900051806,0.015773617754687427,0.8792,0.9672
13,3.8060440897331427,0.016134310641234377,0.8356,0.9616
14,3.8182574365340463,0.026225542314530892,0.8296,0.9416
15,3.8127063793711238,0.0265305562812663,0.8212,0.9408
16,3.8379088108327766,0.019649991019835687,0.8408,0.9416
17,3.786225629835588,0.0195679575115025,0.8132,0.9328
18,3.737370379428399,0.01898775087125052,0.8148,0.9292
19,3.693964733876369,0.024984250523650157,0.8336,0.9128
20,3.7729274411788754,0.02077144903795867,0.8384,0.9148
21,3.7562697208180014,0.023741720303949165,0.8004,0.9244
22,3.754022469028096,0.02008021754150347,0.8232,0.9184
23,3.7226370996585567,0.02041193973846354,0.816,0.9156
24,3.792909612894362,0.01771929863652458,0.7944,0.9096
25,3.7926602213700735,0.017013693530199124,0.7792,0.9064
26,3.8306622005810365,0.01702455380205533,0.7624,0.9108
27,3.7426759143695905,0.02057702277621409,0.7652,0.9068
28,3.7834089743863903,0.020450719685320518,0.7692,0.8936
29,3.7953397713673946,0.02041566057170368,0.738,0.8984
30,3.806984831738353,0.02285593309073676,0.7256,0.9024
31,3.872684170170322,0.02187165125079533,0.6776,0.908
32,3.851906511159878,0.01795893141215864,0.7072,0.9144
33,3.8696321900123967,0.016328014953973895,0.6944,0.9004
34,3.781333456980171,0.02102125622558551,0.724,0.9044
35,3.8528393713507976,0.018651796363978297,0.6836,0.902
36,3.8014411220123248,0.017045906010193054,0.674,0.8976
37,3.8022730184666047,0.024316222496384696,0.6932,0.9044
38,3.7897620387426283,0.01744198420676693,0.6256,0.8996
39,3.685388747304486,0.016155910218244012,0.6556,0.8992
40,3.712259117225736,0.01625087358331345,0.6444,0.9088
41,3.7067369344703978,0.015198058173736536,0.616,0.9048
42,3.601100204615851,0.018850886829862266,0.64,0.8828
43,3.591114337072896,0.017204578957345697,0.598,0.8896
44,3.567834510728004,0.02298185540206675,0.6312,0.8856
45,3.4671583981724305,0.02147237281444541,0.6404,0.8828
46,3.5025506188305666,0.020852281253227665,0.5896,0.8696
47,3.465249842061326,0.01923672758747265,0.5648,0.8676
48,3.472144110166649,0.018320111554822313,0.5328,0.868
49,3.4967220585653225,0.019861931127575467,0.6112,0.8696
50,3.492415671481356,0.021436168419234087,0.54,0.88
51,3.472433917449651,0.016933730011906047,0.5496,0.8804
52,3.474044110808496,0.015567722594435545,0.512,0.8744
53,3.488166865890528,0.015116197371320495,0.5256,0.87
54,3.5030660160580434,0.01688821106507346,0.4952,0.8724
55,3.579398727810724,0.014230401789675766,0.542,0.8684
56,3.510727390260485,0.01572688388805276,0.522,0.8896
57,3.578923199479481,0.013234170743295156,0.476,0.88
58,3.5771940076731763,0.017863369979752894,0.5412,0.8864
59,3.60031464420557,0.014765645582633713,0.5792,0.8776
60,3.5281326284628802,0.016851452679468665,0.5236,0.878
61,3.5244630241581003,0.015096719242322941,0.5004,0.8736
62,3.520159780936978,0.013824437034697977,0.5408,0.8744
63,3.51183280126404,0.014706737160510994,0.5304,0.8776
64,3.6158412051746303,0.015047944348520973,0.5288,0.8672
65,3.606722395010375,0.013818218240166866,0.5112,0.8716
66,3.6041751353232048,0.014077440084649307,0.4892,0.8652
67,3.645041381905794,0.015180808599921375,0.4952,0.8632
68,3.5840169390559153,0.014566853222880372,0.5072,0.862
69,3.6051873176619296,0.013678174849286465,0.48,0.8748
70,3.5471532180633902,0.015612497207873971,0.5004,0.8692
71,3.542686110513052,0.014011585583844084,0.4872,0.8652
72,3.5483199794681743,0.013971891769355888,0.5032,0.8672
73,3.5910926417427165,0.013468132733063482,0.4976,0.8656
74,3.653630093287381,0.012141297373059785,0.4808,0.8576
75,3.556425163725085,0.011129245116971009,0.4452,0.8564
76,3.5561049729930705,0.011985222900733769,0.416,0.8432
77,3.5800243440965396,0.011795811907267768,0.4396,0.8644
78,3.533200924022273,0.01184579421967252,0.4124,0.8544
79,3.552296959188447,0.010951572475855051,0.4424,0.8528
80,3.4973031162621284,0.01360235387292394,0.4376,0.8612
81,3.560586641713374,0.013731889789908316,0.4324,0.864
82,3.5836155397793013,0.011681848620654748,0.4316,0.8556
83,3.458491499107276,0.013540123576383553,0.4132,0.8524
84,3.4531689305720796,0.011310971266607983,0.4192,0.8556
85,3.458745417184562,0.010551668486401522,0.3956,0.8684
86,3.4274538952641858,0.011449333114863704,0.3696,0.85
87,3.3171674131951514,0.010972309824282045,0.3576,0.838
88,3.220400793912474,0.01003967187457092,0.3604,0.8392
89,3.205267287694623,0.009287634158377345,0.3168,0.8416
90,3.207832291661952,0.009318066876221004,0.3372,0.8432
91,3.1125094742058557,0.008827276152395822,0.3572,0.8452
92,3.039972010139508,0.009235510028168827,0.314,0.8476
